Tmc,road,directio_1
114-04353,I-90 EXP,EASTBOUND
114-04354,I-90 EXP,EASTBOUND
114N04357,I-90 EXP,EASTBOUND
114N04358,I-90 EXP,EASTBOUND
114-04358,I-90 EXP,EASTBOUND
114-04356,I-90 EXP,EASTBOUND
114N04359,I-90 EXP,EASTBOUND
114-04359,I-90 EXP,EASTBOUND
114N14878,I-90 EXP,EASTBOUND
114-04360,I-90 EXP,EASTBOUND
114N04355,I-90 EXP,EASTBOUND
114N04354,I-90 EXP,EASTBOUND
114-04355,I-90 EXP,EASTBOUND
114+04357,I-90 EXP,WESTBOUND
114P04358,I-90 EXP,WESTBOUND
114+04355,I-90 EXP,WESTBOUND
114+04360,I-90 EXP,WESTBOUND
114P04359,I-90 EXP,WESTBOUND
114P14878,I-90 EXP,WESTBOUND
114+04354,I-90 EXP,WESTBOUND
114+04359,I-90 EXP,WESTBOUND
114P04354,I-90 EXP,WESTBOUND
114+04356,I-90 EXP,WESTBOUND
114+04358,I-90 EXP,WESTBOUND
114P04357,I-90 EXP,WESTBOUND
114P04355,I-90 EXP,WESTBOUND
114+14878,I-90 EXP,WESTBOUND
114P04557,I-5 EXP,NORTHBOUND
114P04548,I-5 EXP,NORTHBOUND
114+04555,I-5 EXP,NORTHBOUND
114+04559,I-5 EXP,NORTHBOUND
114+04551,I-5 EXP,NORTHBOUND
114+04553,I-5 EXP,NORTHBOUND
114P04555,I-5 EXP,NORTHBOUND
114+04558,I-5 EXP,NORTHBOUND
114P04554,I-5 EXP,NORTHBOUND
114P04549,I-5 EXP,NORTHBOUND
114+04554,I-5 EXP,NORTHBOUND
114+04557,I-5 EXP,NORTHBOUND
114+04552,I-5 EXP,NORTHBOUND
114+04550,I-5 EXP,NORTHBOUND
114+04556,I-5 EXP,NORTHBOUND
114P04551,I-5 EXP,NORTHBOUND
114-04554,I-5 EXP,SOUTHBOUND
114-04550,I-5 EXP,SOUTHBOUND
114-04552,I-5 EXP,SOUTHBOUND
114N04548,I-5 EXP,SOUTHBOUND
114N04554,I-5 EXP,SOUTHBOUND
114N04551,I-5 EXP,SOUTHBOUND
114N04557,I-5 EXP,SOUTHBOUND
114-04557,I-5 EXP,SOUTHBOUND
114-04549,I-5 EXP,SOUTHBOUND
114-04555,I-5 EXP,SOUTHBOUND
114-04556,I-5 EXP,SOUTHBOUND
114N04549,I-5 EXP,SOUTHBOUND
114-04558,I-5 EXP,SOUTHBOUND
114N04555,I-5 EXP,SOUTHBOUND
114-04551,I-5 EXP,SOUTHBOUND
114-04553,I-5 EXP,SOUTHBOUND
114-04548,I-5 EXP,SOUTHBOUND
